default,en,ru,kz
language,Language🌍,Язык🌍,Тіл🌍
settings,Settings⚙️,Настройки⚙️,Параметрлер⚙️
information,Informationℹ️,Информацияℹ️,Ақпаратℹ️
hello_banner,"Hello!
This is weather-bot by @TheJustRusik
Now you can setup this bot!
","Привет!
Это weather-bot от @TheJustRusik!
Тут ты можешь настроить его!","Сәлем!
Бұл @TheJustRusik'тың weather-bot!
Мұнда сіз оны теңшей аласыз!"
error,Sorry! Some error occurred.❌,Простите! Произошла ошибка.❌,Кешіріңіз! Қате пайда болды.❌
choose_language,Please choose language!🌍,Пожалуйста выберите язык!🌍,Тілді таңдаңыз!🌍
english,English🇺🇸,English🇺🇸,English🇺🇸
russian,Русский🇷🇺,Русский🇷🇺,Русский🇷🇺
russian_selected,Russian language selected!✅,Выбран русский язык!✅,Орыс тілі таңдалды!✅
english_selected,English language selected!✅,Выбран английский язык!✅,Ағылшын тілі таңдалды!✅
your_settings,"⚠️These are all the current bot settings.
To change a field, click on the corresponding button.","⚠️Это все текущие настройки бота.
Чтобы изменить какое то поле, нажмите на соответсвующую кнопку.","⚠️Мұның бәрі қазіргі бот параметрлері.
Кейбір өрісті өзгерту үшін тиісті түймені басыңыз."
broadcasting,Broadcasting,Рассылка,Тарату
broadcast_time,Broadcasting hours,Время рассылки,Тарату уақыты
utc_delta,UTC difference,Разница UTC,UTC айырмашылығы
locations,Cities,Города,Қалалар
setup_broadcasting,Here you can choose whether the application will automatically send weather messages.,Здесь вы можете выбрать будет ли приложение автоматически рассылать сообщения о погоде.,Мұнда сіз қолданбаның ауа-райы туралы хабарламаларды автоматты түрде жіберетінін таңдай аласыз.
updated_broadcasting,Automatic broadcasting is: ,Автоматические сообщения:,Автоматты хабарламалар:
enabled,Enabled,Включены,Қосылған
disabled,Disabled,Отключены,Қосылмаған
set_enabled,Enable✅,Включить✅,Қосу✅
set_disabled,Disable❌,Выключить❌,Өшіру❌
exit,Exit⛔,Выйти⛔,Шығу⛔
show_config,Show config⚙️,Показать конфиг⚙️,Конфигурацияны көрсету⚙️
menu,Menu,Меню,Мәзір
info,"""weather-bot"" was created to make people's lives easier🐥.
It can automatically notify people about the weather in your favorite chat or PM, and also give you weather-related tips.🌧☂️
You can configure which cities will be included in the mailing, the time of automatic mailing, or you can turn off the mailing if you so desire.🏙️🕓
If you like the bot and want to add new features to it, feel free to do so on the project’s Github❤️
https://github.com/TheJustRusik/weather-bot-telegram","«weather-bot» был создан, чтобы облегчить жизнь людям.🐥
Он может автоматически уведомлять людей о погоде в вашем любимом чате или в лс, а также давать вам советы, связанные с погодой.🌧☂️
Вы можете настроить, какие города будут включены в рассылку, время автоматической рассылки, а при желании можете отключить рассылку.🏙🕓
Если вам нравится бот и вы хотите добавить к нему новые функции, вы можете сделать это на Github проекта❤️
https://github.com/TheJustRusik/weather-bot-telegram","""weather-bot"" адамдардың өмірін жеңілдету үшін жасалған.🐥
Ол сіздің сүйікті чатыңызда немесе дәрі-дәрмектеріңізде ауа-райы туралы адамдарға автоматты түрде хабарлай алады, сонымен қатар сізге ауа-райына қатысты кеңестер бере алады.🌧☂️
Сіз қай қалалардың Ақпараттық бюллетеньге қосылатынын, Автоматты тарату уақытын реттей аласыз және қаласаңыз, ақпараттық бюллетеньді өшіре аласыз.🏙🕓
Егер сіз ботты ұнатсаңыз және оған жаңа мүмкіндіктер қосқыңыз келсе, оны github жобасында жасай аласыз❤️
https://github.com/TheJustRusik/weather-bot-telegram"
cities,Cities:,Города:,Қалалар:
setup_locations,"Setting up locations🌍
To remove a city, click on it ❌
You can also add a new city ➕","Настройка локаций🌍
Чтобы удалить город, нажмите на него ❌
Вы можете также добавить город ➕","Орындарды орнату🌍
Қаланы жою үшін оны басыңыз ❌
Сіз қаланы да қоса аласыз ➕"
reply_for_add_city,"To add a city, reply to this message with the city name⬅️","Чтобы добавить город, ответьте на это сообщение названием города⬅️",Қаланы қосу үшін осы хабарламаға қала атауымен жауап беріңіз⬅️
wait_for_add_city,"The application to add a city is being processed, please wait...🕓","Заявка на добавление города находится в обработке, подождите...🕓","Қаланы қосу туралы өтініш өңделуде, күте тұрыңыз...🕓"
added_city,"✅Added a new city to the broadcasting:
",✅Добавлен новый город в рассылку:,✅Ақпараттық бюллетеньге жаңа қала қосылды:
not_added_city,⚠️Error adding a city:,⚠️Ошибка при добавлении города:,⚠️Қаланы қосу кезінде қате:
add_new_location,Add a new city,Добавить новый город,Жаңа қала қосу
deleted_location,✅Deleted city:,✅Удалён город:,✅Қала жойылды:
kazakh_selected,Kazakh language selected✅,Выбран казахский язык✅,Таңдалған қазақ тілі✅
kazakh,Қазақша🇰🇿,Қазақша🇰🇿,Қазақша🇰🇿
